,year,gender,age,fasting_time,has_hypertension_diagnosis,hypertension_prevalence,has_diabetes_diagnosis,diabetes_prevalence,drinking_experience,drinking_frequency,drinking_amount_per_session,smoking_status,smoking_fr_per_day,sbp,dbp,pulse,height,weight,waist_circumference,bmi,fbs,hba1c,total_cholesterol,hdl,triglyceride,ldl,ast,alt,creatinine,urine_protein,urine_glucose,family_history_diabetes,family_history_hypertension
fbs,-0.02907308863583078,0.09198902207049788,-0.06936673653344826,-0.1371725077024013,-0.3050614002535482,-0.2522216188092805,0.4845640202087624,0.49498714097514346,-0.03446902004603741,0.019558577780487828,0.0923028833214795,-0.08360550298029347,0.08854426663829847,-0.04137019926526286,-0.04339212680751713,0.23050846996194088,0.09499269413298156,0.11982338660467598,0.14134393625593974,0.08305339035102827,1.0,0.757815932577029,-0.03247706796315416,-0.12049224168626602,0.17916922898784707,-0.03218756319703028,0.02863571906434187,0.10592265384515552,0.02476322782937277,0.07888649451074647,0.4289545392213123,0.17628741793033045,-0.07509510057766618
hba1c,-0.04367919638964825,0.026539680984615392,-0.032494495447440624,-0.04998505810088628,-0.35739274295349593,-0.2944701825514766,0.5720766420717259,0.588334907164887,0.02444450776681317,-0.030686508829144497,0.004798297295981536,-0.043349920200439214,0.08019233348295934,-0.057360588326109296,-0.09331567120288661,0.1425931284066433,0.028482849049977277,0.07355663996179203,0.13347119229255494,0.07583502334103924,0.757815932577029,1.0,-0.09158261264838681,-0.14849382085673604,0.13687739686172917,-0.07733998203350252,0.01265391698692776,0.10322771798731559,0.015338053382731556,0.08092463678550356,0.4656758693959822,0.20968727366884268,-0.08540577043431871
total_cholesterol,-0.15340207108226442,-0.09664797091537164,-0.13343103907983622,0.036009261363180604,0.0906702298720095,0.038757276157743846,-0.2385971085624294,-0.25404048424247305,-0.019103627986176753,0.02235319217460663,0.05053720579639257,0.05249310714123176,-0.004976300243981031,0.12015139969141626,0.20669451105765205,0.019267596337166373,-0.047648827292602794,-0.012336215162684993,-0.04356615640675729,0.01936955601655233,-0.03247706796315416,-0.09158261264838681,1.0,0.2133233290271499,0.2727758846884594,0.8849757303241704,-0.018765171713098053,-0.00476901020426158,-0.0710907402851316,-0.00314496490970605,-0.09192484526793382,-0.047020619915225347,0.054270620469583815
hdl,0.1816638109491606,-0.21157240565578134,0.003713813905171192,0.06395829021479721,0.041313211626982746,0.019875095691906756,-0.11156609197231311,-0.12050125794374489,-0.030620298746698693,0.02504600926775319,-0.0020706361673421573,0.14092301810254967,-0.10691219158956027,0.045475654421141286,0.06099385157267966,0.05982438044580181,-0.15021621947431255,-0.2196994964093942,-0.23600220267711589,-0.16990727806440167,-0.12049224168626602,-0.14849382085673604,0.2133233290271499,1.0,-0.3345088830461331,-0.004777996403060318,0.007678802279846112,-0.06827753997049996,-0.14768197037589972,-0.04360339718541194,-0.05841375663892042,-0.01107671200596657,0.06619833339996059
triglyceride,-0.06707951265650187,0.13148003158133667,-0.176538257034295,-0.06371441159951595,-0.010813251192362199,-0.000995144228269675,0.03408926988375267,0.03192163282735096,-0.08681186383530572,0.08160340567955982,0.22524533601505228,-0.14862415111687563,0.15850833479485482,0.03754176717564344,0.14058512252730318,0.0858177948381702,0.14004551710528806,0.2070763659734916,0.1886743270789164,0.15700459398583688,0.17916922898784707,0.13687739686172917,0.2727758846884594,-0.3345088830461331,1.0,0.03774117415829574,0.1125773522347153,0.16422002128741997,0.048759314674153814,0.054452982469993555,0.09099234733025414,0.03530070708325901,0.019980911843785316
ldl,-0.1414214998303835,-0.06242342917315177,-0.12246777986903959,0.03533261959569125,0.07016413907311432,0.025196065176077743,-0.20919512747037336,-0.22438612203797065,0.014382299211258028,-0.004896578828879782,-0.012509639133560532,0.04827600868184884,-0.009884113495277774,0.10784990933953897,0.18091505506962474,-0.044140095547329686,-0.024240869462576302,0.031277722554903145,0.002876086014236167,0.06038488611209318,-0.03218756319703028,-0.07733998203350252,0.8849757303241704,-0.004777996403060318,0.03774117415829574,1.0,-0.05986880917025565,-0.017102862500416812,-0.060044106803718356,-0.01901891171624554,-0.10874353059662825,-0.03999676418871401,0.04479806035750604
ast,-0.014721739964400866,0.06168363250612845,-0.03638538246415385,0.002337804725604192,0.01777007967037717,0.02261579963379248,-0.01723619837186658,-0.014965631860221136,-0.04252377825728171,0.07887572478677189,0.10801865325942654,-0.0579245899908131,0.044081948815713576,0.0158908331595484,0.05162930901692754,0.053561314156018024,0.03917978757549903,0.07623967472487532,0.08335862060736864,0.0692529070299335,0.02863571906434187,0.01265391698692776,-0.018765171713098053,0.007678802279846112,0.1125773522347153,-0.05986880917025565,1.0,0.7503409340575856,-0.012312095853681072,0.05770165079337695,-0.010698605415734882,-0.002890117293134068,0.0009433664786620433
alt,-0.005553621927068174,0.14023812196115087,-0.22298072605176464,-0.01052499811197743,-0.01431099561734938,-0.009780000302196406,0.018804748134104876,0.020634591950005138,-0.08405928913063267,0.025280652683563627,0.15094229467745393,-0.09495739253232147,0.0667085543606024,-0.02200582177325696,0.13053500092509995,-0.0059450672018213505,0.16235597682090747,0.26595886435253846,0.21126346582893415,0.21521765576072674,0.10592265384515552,0.10322771798731559,-0.00476901020426158,-0.06827753997049996,0.16422002128741997,-0.017102862500416812,0.7503409340575856,1.0,-0.015756151665196307,0.05679159053008492,0.045146983181570954,0.0532187898379315,0.05051935428421916
creatinine,-0.03587801308898508,0.3391375131926044,0.05032614164144875,-0.008167182745659194,0.03096941435569878,0.012559144006460929,0.03314367026422527,0.033126852195077,-0.03851673006753485,0.047090531033953005,0.05657669744508907,-0.17879099671125315,0.06823790638568958,0.004472086171794454,-0.029719596769629084,-0.02827926208941373,0.234128274083032,0.13776480798540736,0.09444702426355991,-0.00729318670374495,0.02476322782937277,0.015338053382731556,-0.0710907402851316,-0.14768197037589972,0.048759314674153814,-0.060044106803718356,-0.012312095853681072,-0.015756151665196307,1.0,0.07794299229622548,0.031096972300905808,-0.03550317264473084,-0.05408607813049791
urine_protein,-0.007961374101038832,0.09238251415016206,-0.024451417806417557,0.04131062738523034,0.011494972598584854,0.008844517700643319,0.03392376149761887,0.034879236183040424,-0.012358348890280384,0.03871518133842445,0.06006441432020308,-0.05738296132412189,0.0619557460177545,0.028546296192806662,0.02961814015548467,0.07119024309985238,0.05721332469024059,0.0569624059433369,0.05133443744445311,0.030107708999059426,0.07888649451074647,0.08092463678550356,-0.00314496490970605,-0.04360339718541194,0.054452982469993555,-0.01901891171624554,0.05770165079337695,0.05679159053008492,0.07794299229622548,1.0,0.07101944816078898,0.010382247819213762,-0.012703290390833082
urine_glucose,0.09419486955614709,0.12069488165708946,-0.08780140495620396,-0.05132842511357279,-0.2321652152116964,-0.19340008664009498,0.3704780394405725,0.38553664253108283,-0.04372209794796477,0.013677977207119238,0.1011066228826398,-0.07962375570714417,0.07917661972545872,-0.051339133586809964,-0.020020266470614573,0.07799806550473677,0.12023084790649594,0.10667181921467353,0.09262852884622327,0.04126079970710445,0.4289545392213123,0.4656758693959822,-0.09192484526793382,-0.05841375663892042,0.09099234733025414,-0.10874353059662825,-0.010698605415734882,0.045146983181570954,0.031096972300905808,0.07101944816078898,1.0,0.14510002785007806,-0.04381530424257426
family_history_diabetes,0.07655414372727934,-0.023817388564508102,-0.19749181835922325,-0.02111736539121716,-0.18554802609675106,-0.161191640968426,0.25368224282903,0.26291524970143726,-0.01925042669816857,-0.028915363316044267,0.04393819407036478,0.0006675880262754985,0.04896155582497423,-0.06723977215992999,0.014947594660562806,-0.007142104047057783,0.0633110435409605,0.06496730053427682,0.007378736727961995,0.030547072221312872,0.17628741793033045,0.20968727366884268,-0.047020619915225347,-0.01107671200596657,0.03530070708325901,-0.03999676418871401,-0.002890117293134068,0.0532187898379315,-0.03550317264473084,0.010382247819213762,0.14510002785007806,1.0,0.2020471932220093
family_history_hypertension,0.04643596252019687,-0.07767568174248542,-0.2561571961282442,0.01437683665837884,0.1574307622130025,0.14736156490474567,-0.11269152896325613,-0.11534887023570854,-0.050846174696989085,-0.03104504444067661,0.056927721840135725,0.05768284150265924,0.0034173130582859,0.010006289253791798,0.16184864086064774,-0.042280314261633936,0.040327420122661356,0.0898313959953272,-0.002766553010156952,0.08591302425827059,-0.07509510057766618,-0.08540577043431871,0.054270620469583815,0.06619833339996059,0.019980911843785316,0.04479806035750604,0.0009433664786620433,0.05051935428421916,-0.05408607813049791,-0.012703290390833082,-0.04381530424257426,0.2020471932220093,1.0
